,Clusters,RTs,Total_tweets,CumRT
2975,3,85,297600,207828
2976,3,83,297700,207911
2977,2,83,297800,207994
2978,4,83,297900,208077
2979,2,82,298000,208159
2980,2,81,298100,208240
2981,3,80,298200,208320
2982,3,81,298300,208401
2983,3,84,298400,208485
2984,2,84,298500,208569
2985,4,80,298600,208649
2986,2,91,298700,208740
2987,3,82,298800,208822
2988,4,78,298900,208900
2989,2,79,299000,208979
2990,2,83,299100,209062
2991,2,84,299200,209146
2992,3,82,299300,209228
2993,2,81,299400,209309
2994,2,85,299500,209394
2995,2,87,299600,209481
2996,2,91,299700,209572
2997,2,87,299800,209659
2998,2,73,299900,209732
2999,2,78,300000,209810
3000,2,80,300100,209890
3001,2,82,300200,209972
3002,2,82,300300,210054
3003,2,85,300400,210139
3004,2,79,300500,210218
3005,2,77,300600,210295
3006,2,82,300700,210377
3007,3,85,300800,210462
3008,2,88,300900,210550
3009,2,85,301000,210635
3010,2,77,301100,210712
3011,2,88,301200,210800
3012,2,82,301300,210882
3013,2,78,301400,210960
3014,2,83,301500,211043
3015,2,94,301600,211137
3016,2,85,301700,211222
3017,2,83,301800,211305
3018,3,83,301900,211388
3019,4,80,302000,211468
3020,2,92,302100,211560
3021,3,87,302200,211647
3022,3,75,302300,211722
3023,2,84,302400,211806
3024,2,78,302500,211884
3025,2,82,302600,211966
3026,2,84,302700,212050
3027,3,80,302800,212130
3028,2,86,302900,212216
3029,3,86,303000,212302
3030,4,84,303100,212386
3031,3,80,303200,212466
3032,2,72,303300,212538
3033,2,80,303400,212618
3034,2,84,303500,212702
3035,2,90,303600,212792
3036,2,81,303700,212873
3037,2,77,303800,212950
3038,2,82,303900,213032
3039,3,82,304000,213114
3040,2,83,304100,213197
3041,2,78,304200,213275
3042,2,84,304300,213359
3043,3,88,304400,213447
3044,2,82,304500,213529
3045,3,78,304600,213607
3046,2,72,304700,213679
3047,2,84,304800,213763
3048,2,76,304900,213839
3049,2,79,305000,213918
3050,2,83,305100,214001
3051,2,80,305200,214081
3052,2,80,305300,214161
3053,3,82,305400,214243
3054,2,86,305500,214329
3055,2,77,305600,214406
3056,2,85,305700,214491
3057,2,78,305800,214569
3058,3,77,305900,214646
3059,3,80,306000,214726
3060,2,83,306100,214809
3061,2,87,306200,214896
3062,2,83,306300,214979
3063,5,91,306400,215070
3064,2,87,306500,215157
3065,2,80,306600,215237
3066,2,87,306700,215324
3067,2,84,306800,215408
3068,2,79,306900,215487
3069,2,76,307000,215563
3070,2,91,307100,215654
3071,2,93,307200,215747
3072,2,86,307300,215833
3073,2,88,307400,215921
3074,2,79,307500,216000
3075,2,83,307600,216083
3076,3,78,307700,216161
3077,2,80,307800,216241
3078,2,83,307900,216324
3079,2,77,308000,216401
3080,2,88,308100,216489
3081,2,84,308200,216573
3082,2,84,308300,216657
3083,2,90,308400,216747
3084,3,83,308500,216830
3085,2,84,308600,216914
3086,2,85,308700,216999
3087,2,89,308800,217088
3088,4,88,308900,217176
3089,2,83,309000,217259
3090,2,84,309100,217343
3091,2,85,309200,217428
3092,2,75,309300,217503
3093,2,77,309400,217580
3094,2,80,309500,217660
3095,2,80,309600,217740
3096,2,80,309700,217820
3097,2,78,309800,217898
3098,2,81,309900,217979
3099,2,84,310000,218063
3100,2,82,310100,218145
3101,4,83,310200,218228
3102,2,83,310300,218311
3103,2,78,310400,218389
3104,2,83,310500,218472
3105,3,77,310600,218549
3106,2,88,310700,218637
3107,2,79,310800,218716
3108,2,83,310900,218799
3109,2,85,311000,218884
3110,2,81,311100,218965
3111,2,87,311200,219052
3112,2,80,311300,219132
3113,3,72,311400,219204
3114,3,83,311500,219287
3115,2,82,311600,219369
3116,2,76,311700,219445
3117,3,81,311800,219526
3118,3,83,311900,219609
3119,2,83,312000,219692
3120,2,81,312100,219773
3121,2,80,312200,219853
3122,2,88,312300,219941
3123,2,86,312400,220027
3124,2,85,312500,220112
3125,2,91,312600,220203
3126,3,73,312700,220276
3127,2,78,312800,220354
3128,2,80,312900,220434
3129,3,86,313000,220520
3130,2,84,313100,220604
3131,3,83,313200,220687
3132,4,81,313300,220768
3133,2,83,313400,220851
3134,2,80,313500,220931
3135,2,87,313600,221018
3136,6,84,313700,221102
3137,2,79,313800,221181
3138,2,87,313900,221268
3139,2,83,314000,221351
3140,2,79,314100,221430
3141,2,79,314200,221509
3142,2,83,314300,221592
3143,2,87,314400,221679
3144,2,80,314500,221759
3145,2,82,314600,221841
3146,2,86,314700,221927
3147,2,81,314800,222008
3148,2,83,314900,222091
3149,2,77,315000,222168
3150,2,79,315100,222247
3151,3,85,315200,222332
3152,2,81,315300,222413
3153,4,82,315400,222495
3154,2,85,315500,222580
3155,2,76,315600,222656
3156,3,80,315700,222736
3157,3,82,315800,222818
3158,2,87,315900,222905
3159,2,85,316000,222990
3160,2,76,316100,223066
3161,2,73,316200,223139
3162,2,78,316300,223217
3163,3,86,316400,223303
3164,2,83,316500,223386
3165,2,86,316600,223472
3166,2,75,316700,223547
3167,2,86,316800,223633
3168,2,81,316900,223714
3169,2,81,317000,223795
3170,2,82,317100,223877
3171,2,75,317200,223952
3172,2,85,317300,224037
3173,2,80,317400,224117
3174,2,84,317500,224201
3175,3,83,317600,224284
3176,2,79,317700,224363
3177,2,84,317800,224447
3178,2,85,317900,224532
3179,2,86,318000,224618
3180,2,87,318100,224705
3181,2,80,318200,224785
3182,2,83,318300,224868
3183,3,83,318400,224951
3184,2,79,318500,225030
3185,3,81,318600,225111
3186,3,79,318700,225190
3187,2,87,318800,225277
3188,2,86,318900,225363
3189,2,84,319000,225447
3190,2,82,319100,225529
3191,2,80,319200,225609
3192,2,78,319300,225687
3193,2,90,319400,225777
3194,2,81,319500,225858
3195,2,83,319600,225941
3196,2,85,319700,226026
3197,2,85,319800,226111
3198,5,85,319900,226196
3199,2,86,320000,226282
3200,2,76,320100,226358
3201,3,77,320200,226435
3202,2,80,320300,226515
3203,2,79,320400,226594
3204,2,80,320500,226674
3205,3,74,320600,226748
3206,2,72,320700,226820
3207,2,75,320800,226895
3208,2,73,320900,226968
3209,3,83,321000,227051
3210,2,87,321100,227138
3211,3,83,321200,227221
3212,4,71,321300,227292
3213,2,85,321400,227377
3214,2,85,321500,227462
3215,2,84,321600,227546
3216,2,84,321700,227630
3217,2,80,321800,227710
3218,3,87,321900,227797
3219,2,88,322000,227885
3220,2,86,322100,227971
3221,3,83,322200,228054
3222,2,82,322300,228136
3223,2,80,322400,228216
3224,2,79,322500,228295
3225,2,82,322600,228377
3226,3,86,322700,228463
3227,2,81,322800,228544
3228,2,70,322900,228614
3229,2,84,323000,228698
3230,2,72,323100,228770
3231,2,78,323200,228848
3232,2,84,323300,228932
3233,3,87,323400,229019
3234,3,84,323500,229103
3235,2,82,323600,229185
3236,2,90,323700,229275
3237,2,84,323800,229359
3238,3,84,323900,229443
3239,2,87,324000,229530
3240,3,82,324100,229612
3241,3,91,324200,229703
3242,2,82,324300,229785
3243,3,79,324400,229864
3244,3,75,324500,229939
3245,4,70,324600,230009
3246,2,77,324700,230086
3247,2,83,324800,230169
3248,3,78,324900,230247
3249,3,83,325000,230330
3250,2,74,325100,230404
3251,2,77,325200,230481
3252,2,87,325300,230568
3253,2,84,325400,230652
3254,4,80,325500,230732
3255,2,76,325600,230808
3256,4,88,325700,230896
3257,2,80,325800,230976
3258,3,85,325900,231061
3259,4,80,326000,231141
3260,3,84,326100,231225
3261,2,88,326200,231313
3262,3,84,326300,231397
3263,3,83,326400,231480
3264,3,82,326500,231562
3265,2,79,326600,231641
3266,2,74,326700,231715
3267,2,83,326800,231798
3268,3,83,326900,231881
3269,5,81,327000,231962
3270,2,88,327100,232050
3271,2,84,327200,232134
3272,3,86,327300,232220
3273,2,80,327400,232300
3274,4,85,327500,232385
3275,2,85,327600,232470
3276,3,84,327700,232554
3277,2,83,327800,232637
3278,2,76,327900,232713
3279,2,84,328000,232797
3280,4,86,328100,232883
3281,3,77,328200,232960
3282,2,82,328300,233042
3283,2,81,328400,233123
3284,3,75,328500,233198
3285,2,82,328600,233280
3286,2,80,328700,233360
3287,2,80,328800,233440
3288,2,80,328900,233520
3289,4,86,329000,233606
3290,2,82,329100,233688
3291,3,78,329200,233766
3292,2,85,329300,233851
3293,2,81,329400,233932
3294,2,78,329500,234010
3295,2,87,329600,234097
3296,2,78,329700,234175
3297,2,93,329800,234268
3298,4,81,329900,234349
3299,2,88,330000,234437
3300,3,87,330100,234524
3301,2,81,330200,234605
3302,2,85,330300,234690
3303,3,79,330400,234769
3304,2,83,330500,234852
3305,3,78,330600,234930
3306,2,78,330700,235008
3307,3,83,330800,235091
3308,2,80,330900,235171
3309,2,83,331000,235254
3310,2,79,331100,235333
3311,3,83,331200,235416
3312,2,81,331300,235497
3313,2,83,331400,235580
3314,2,80,331500,235660
3315,2,83,331600,235743
3316,2,77,331700,235820
3317,2,82,331800,235902
3318,2,88,331900,235990
3319,3,79,332000,236069
3320,2,80,332100,236149
3321,4,75,332200,236224
3322,2,82,332300,236306
3323,2,69,332400,236375
3324,2,83,332500,236458
3325,2,77,332600,236535
3326,2,79,332700,236614
3327,3,73,332800,236687
3328,2,69,332900,236756
3329,2,82,333000,236838
3330,4,82,333100,236920
3331,2,87,333200,237007
3332,2,79,333300,237086
3333,2,84,333400,237170
3334,3,83,333500,237253
3335,2,79,333600,237332
3336,2,86,333700,237418
3337,2,79,333800,237497
3338,2,80,333900,237577
3339,2,72,334000,237649
3340,2,81,334100,237730
3341,4,82,334200,237812
3342,3,81,334300,237893
3343,2,85,334400,237978
3344,2,84,334500,238062
3345,3,91,334600,238153
3346,2,83,334700,238236
3347,2,81,334800,238317
3348,2,82,334900,238399
3349,3,82,335000,238481
3350,3,88,335100,238569
3351,2,83,335200,238652
3352,2,86,335300,238738
3353,2,84,335400,238822
3354,2,82,335500,238904
3355,2,83,335600,238987
3356,2,75,335700,239062
3357,2,85,335800,239147
3358,2,88,335900,239235
3359,2,84,336000,239319
3360,2,81,336100,239400
3361,2,81,336200,239481
3362,3,82,336300,239563
3363,3,85,336400,239648
3364,2,80,336500,239728
3365,2,83,336600,239811
3366,2,77,336700,239888
3367,2,85,336800,239973
3368,2,82,336900,240055
3369,2,79,337000,240134
3370,2,79,337100,240213
3371,3,81,337200,240294
3372,2,81,337300,240375
3373,3,73,337400,240448
3374,2,77,337500,240525
3375,2,87,337600,240612
3376,2,79,337700,240691
3377,2,81,337800,240772
3378,2,73,337900,240845
3379,2,91,338000,240936
3380,2,74,338100,241010
3381,2,81,338200,241091
3382,2,79,338300,241170
3383,2,83,338400,241253
3384,2,80,338500,241333
3385,3,78,338600,241411
3386,4,84,338700,241495
3387,2,81,338800,241576
3388,2,83,338900,241659
3389,2,82,339000,241741
3390,3,81,339100,241822
3391,2,73,339200,241895
3392,2,83,339300,241978
3393,3,78,339400,242056
3394,2,81,339500,242137
3395,2,89,339600,242226
3396,2,78,339700,242304
3397,2,84,339800,242388
3398,2,82,339900,242470
3399,2,84,340000,242554
3400,3,83,340100,242637
3401,3,86,340200,242723
3402,2,75,340300,242798
3403,3,84,340400,242882
3404,3,87,340500,242969
3405,3,87,340600,243056
3406,2,83,340700,243139
3407,2,82,340800,243221
3408,2,80,340900,243301
3409,2,81,341000,243382
3410,2,79,341100,243461
3411,3,84,341200,243545
3412,2,86,341300,243631
3413,2,81,341400,243712
3414,2,81,341500,243793
3415,2,82,341600,243875
3416,3,77,341700,243952
3417,2,84,341800,244036
3418,2,84,341900,244120
3419,2,78,342000,244198
3420,2,85,342100,244283
3421,2,85,342200,244368
3422,2,83,342300,244451
3423,2,84,342400,244535
3424,3,83,342500,244618
3425,2,86,342600,244704
3426,2,76,342700,244780
3427,2,82,342800,244862
3428,2,80,342900,244942
3429,2,78,343000,245020
3430,2,87,343100,245107
3431,2,89,343200,245196
3432,2,87,343300,245283
3433,3,81,343400,245364
3434,3,92,343500,245456
3435,2,81,343600,245537
3436,2,82,343700,245619
3437,2,89,343800,245708
3438,2,83,343900,245791
3439,2,74,344000,245865
3440,3,77,344100,245942
3441,3,77,344200,246019
3442,2,83,344300,246102
3443,2,88,344400,246190
3444,2,83,344500,246273
3445,2,89,344600,246362
3446,2,83,344700,246445
3447,2,79,344800,246524
3448,2,80,344900,246604
3449,3,76,345000,246680
3450,3,72,345100,246752
3451,2,77,345200,246829
3452,4,80,345300,246909
3453,2,84,345400,246993
3454,2,81,345500,247074
3455,2,80,345600,247154
3456,2,88,345700,247242
3457,2,82,345800,247324
3458,3,87,345900,247411
3459,2,85,346000,247496
3460,3,78,346100,247574
3461,2,85,346200,247659
3462,3,83,346300,247742
3463,3,81,346400,247823
3464,2,74,346500,247897
3465,2,83,346600,247980
3466,2,79,346700,248059
3467,2,88,346800,248147
3468,2,83,346900,248230
3469,2,87,347000,248317
3470,2,83,347100,248400
3471,2,88,347200,248488
3472,2,73,347300,248561
3473,2,88,347400,248649
3474,2,79,347500,248728
3475,2,86,347600,248814
3476,2,84,347700,248898
3477,3,88,347800,248986
3478,2,83,347900,249069
3479,2,82,348000,249151
3480,2,80,348100,249231
3481,2,84,348200,249315
3482,2,77,348300,249392
3483,2,81,348400,249473
3484,3,87,348500,249560
3485,2,81,348600,249641
3486,2,83,348700,249724
3487,2,82,348800,249806
3488,2,73,348900,249879
3489,2,83,349000,249962
3490,2,88,349100,250050
3491,3,88,349200,250138
3492,2,87,349300,250225
3493,2,85,349400,250310
3494,3,79,349500,250389
3495,2,85,349600,250474
3496,2,83,349700,250557
3497,3,80,349800,250637
3498,2,75,349900,250712
3499,3,79,350000,250791
3500,4,87,350100,250878
3501,2,82,350200,250960
3502,5,80,350300,251040
3503,3,83,350400,251123
3504,3,87,350500,251210
3505,2,86,350600,251296
3506,2,79,350700,251375
3507,2,82,350800,251457
3508,3,87,350900,251544
3509,3,88,351000,251632
3510,2,83,351100,251715
3511,3,85,351200,251800
3512,3,80,351300,251880
3513,2,74,351400,251954
3514,2,82,351500,252036
3515,2,84,351600,252120
3516,2,84,351700,252204
3517,3,86,351800,252290
3518,2,80,351900,252370
3519,2,82,352000,252452
3520,2,85,352100,252537
3521,2,87,352200,252624
3522,2,69,352300,252693
3523,3,91,352400,252784
3524,2,76,352500,252860
3525,2,87,352600,252947
3526,3,78,352700,253025
3527,2,79,352800,253104
3528,2,80,352900,253184
3529,2,83,353000,253267
3530,2,79,353100,253346
3531,2,83,353200,253429
3532,2,79,353300,253508
3533,2,85,353400,253593
3534,3,83,353500,253676
3535,2,79,353600,253755
3536,2,76,353700,253831
3537,2,87,353800,253918
3538,2,85,353900,254003
3539,2,79,354000,254082
3540,2,82,354100,254164
3541,2,86,354200,254250
3542,2,80,354300,254330
3543,2,88,354400,254418
3544,2,84,354500,254502
3545,2,78,354600,254580
3546,2,85,354700,254665
3547,2,85,354800,254750
3548,2,82,354900,254832
3549,3,85,355000,254917
3550,3,84,355100,255001
3551,2,76,355200,255077
3552,2,87,355300,255164
3553,2,82,355400,255246
3554,2,84,355500,255330
3555,2,85,355600,255415
3556,4,83,355700,255498
3557,2,83,355800,255581
3558,2,88,355900,255669
3559,2,87,356000,255756
3560,2,81,356100,255837
3561,3,82,356200,255919
3562,2,78,356300,255997
3563,2,86,356400,256083
3564,2,84,356500,256167
3565,3,89,356600,256256
3566,2,79,356700,256335
3567,2,79,356800,256414
3568,2,80,356900,256494
3569,4,81,357000,256575
3570,2,71,357100,256646
3571,4,82,357200,256728
3572,3,81,357300,256809
3573,3,86,357400,256895
3574,2,85,357500,256980
3575,2,83,357600,257063
3576,3,87,357700,257150
3577,2,79,357800,257229
3578,2,85,357900,257314
3579,3,79,358000,257393
3580,3,80,358100,257473
3581,2,76,358200,257549
3582,2,86,358300,257635
3583,2,81,358400,257716
3584,2,86,358500,257802
3585,3,85,358600,257887
3586,2,75,358700,257962
3587,2,82,358800,258044
3588,2,84,358900,258128
3589,2,81,359000,258209
3590,2,81,359100,258290
3591,2,81,359200,258371
3592,3,86,359300,258457
3593,2,87,359400,258544
3594,2,84,359500,258628
3595,3,75,359600,258703
3596,2,73,359700,258776
3597,2,74,359800,258850
3598,2,77,359900,258927
3599,2,76,360000,259003
3600,2,80,360100,259083
3601,3,76,360200,259159
3602,2,83,360300,259242
3603,2,86,360400,259328
3604,2,75,360500,259403
3605,2,90,360600,259493
3606,3,79,360700,259572
3607,2,83,360800,259655
3608,4,86,360900,259741
3609,3,90,361000,259831
3610,2,80,361100,259911
3611,2,80,361200,259991
3612,2,84,361300,260075
3613,2,73,361400,260148
3614,2,82,361500,260230
3615,2,86,361600,260316
3616,2,84,361700,260400
3617,2,83,361800,260483
3618,2,87,361900,260570
3619,2,78,362000,260648
3620,2,89,362100,260737
3621,2,81,362200,260818
3622,3,83,362300,260901
3623,3,81,362400,260982
3624,2,82,362500,261064
3625,2,89,362600,261153
3626,2,86,362700,261239
3627,3,86,362800,261325
3628,2,85,362900,261410
3629,3,81,363000,261491
3630,2,75,363100,261566
3631,3,85,363200,261651
3632,2,81,363300,261732
3633,3,80,363400,261812
3634,2,86,363500,261898
3635,3,83,363600,261981
3636,2,77,363700,262058
3637,2,86,363800,262144
3638,2,85,363900,262229
3639,2,84,364000,262313
3640,2,82,364100,262395
3641,2,87,364200,262482
3642,2,79,364300,262561
3643,2,88,364400,262649
3644,2,81,364500,262730
3645,3,85,364600,262815
3646,2,85,364700,262900
3647,2,89,364800,262989
3648,2,85,364900,263074
3649,2,89,365000,263163
3650,4,79,365100,263242
3651,3,82,365200,263324
3652,2,80,365300,263404
3653,3,85,365400,263489
3654,2,77,365500,263566
3655,3,87,365600,263653
3656,2,86,365700,263739
