,batch,cluster_number,size
581,212,0,728
582,212,1,272
583,213,0,505
584,213,1,495
585,214,0,252
586,214,1,748
587,215,0,506
588,215,1,494
589,216,0,642
590,216,1,358
591,217,0,162
592,217,1,352
593,217,2,486
594,218,0,18
595,218,1,395
596,218,2,140
597,218,3,447
598,219,0,645
599,219,1,355
600,220,0,832
601,220,1,168
602,221,0,154
603,221,1,482
604,221,2,364
605,222,0,640
606,222,1,211
607,222,2,149
608,223,0,199
609,223,1,152
610,223,2,531
611,223,3,118
612,224,0,1
613,224,1,222
614,224,2,777
615,225,0,190
616,225,1,460
617,225,2,350
618,226,0,460
619,226,1,540
620,227,0,135
621,227,1,865
622,228,0,608
623,228,1,392
624,229,0,198
625,229,1,53
626,229,2,749
627,230,0,85
628,230,1,134
629,230,2,781
630,231,0,875
631,231,1,125
632,232,0,183
633,232,1,251
634,232,2,566
635,233,0,121
636,233,1,879
637,234,0,883
638,234,1,117
639,235,0,491
640,235,1,277
641,235,2,232
642,236,0,259
643,236,1,741
644,237,0,676
645,237,1,324
646,238,0,294
647,238,1,595
648,238,2,111
649,239,0,424
650,239,1,576
651,240,0,797
652,240,1,203
653,241,0,620
654,241,1,380
655,242,0,82
656,242,1,918
657,243,0,93
658,243,1,907
659,244,0,184
660,244,1,397
661,244,2,73
662,244,3,346
663,245,0,71
664,245,1,415
665,245,2,333
666,245,3,99
667,245,4,82
668,246,0,88
669,246,1,912
670,247,0,89
671,247,1,911
672,248,0,899
673,248,1,101
674,249,0,109
675,249,1,891
676,250,0,860
677,250,1,140
678,251,0,116
679,251,1,884
680,252,0,893
681,252,1,107
682,253,0,125
683,253,1,707
684,253,2,168
685,254,0,130
686,254,1,870
687,255,0,127
688,255,1,873
689,256,0,129
690,256,1,279
691,256,2,592
692,257,0,51
693,257,1,792
694,257,2,157
695,258,0,242
696,258,1,484
697,258,2,109
698,258,3,165
699,259,0,157
700,259,1,82
701,259,2,761
702,260,0,158
703,260,1,172
704,260,2,670
705,261,0,500
706,261,1,160
707,261,2,86
708,261,3,254
709,262,0,103
710,262,1,168
711,262,2,346
712,262,3,383
713,263,0,792
714,263,1,208
715,264,0,104
716,264,1,174
717,264,2,493
718,264,3,229
719,265,0,195
720,265,1,805
721,266,0,791
722,266,1,194
723,266,2,15
724,267,0,192
725,267,1,808
726,268,0,800
727,268,1,200
728,269,0,802
729,269,1,198
730,270,0,24
731,270,1,122
732,270,2,172
733,270,3,70
734,270,4,612
735,271,0,762
736,271,1,238
737,272,0,706
738,272,1,82
739,272,2,28
740,272,3,184
741,273,0,8
742,273,1,163
743,273,2,743
744,273,3,28
745,273,4,58
746,274,0,650
747,274,1,350
748,275,0,856
749,275,1,144
750,276,0,167
751,276,1,833
752,277,0,28
753,277,1,790
754,277,2,163
755,277,3,19
756,278,0,805
757,278,1,136
758,278,2,59
759,279,0,83
760,279,1,28
761,279,2,142
762,279,3,507
763,279,4,184
764,279,5,56
765,280,0,864
766,280,1,136
767,281,0,12
768,281,1,282
769,281,2,678
770,281,3,28
771,282,0,33
772,282,1,813
773,282,2,48
774,282,3,106
775,283,0,479
776,283,1,97
777,283,2,103
778,283,3,218
779,283,4,103
780,284,0,34
781,284,1,28
782,284,2,87
783,284,3,206
784,284,4,47
785,284,5,83
786,284,6,406
787,284,7,109
788,285,0,354
789,285,1,28
790,285,2,82
791,285,3,102
792,285,4,45
793,285,5,44
794,285,6,345
795,286,0,28
796,286,1,688
797,286,2,109
798,286,3,73
799,286,4,102
800,287,0,65
801,287,1,28
802,287,2,123
803,287,3,784
804,288,0,61
805,288,1,165
806,288,2,746
807,288,3,28
808,289,0,87
809,289,1,752
810,289,2,52
811,289,3,109
812,290,0,816
813,290,1,184
814,291,0,169
815,291,1,831
816,292,0,607
817,292,1,238
818,292,2,155
819,293,0,823
820,293,1,177
821,294,0,324
822,294,1,471
823,294,2,205
824,295,0,809
825,295,1,191
826,296,0,795
827,296,1,205
828,297,0,759
829,297,1,241
830,298,0,216
831,298,1,784
832,299,0,212
833,299,1,788
834,300,0,763
835,300,1,237
836,301,0,745
837,301,1,255
838,302,0,780
839,302,1,220
840,303,0,270
841,303,1,730
842,304,0,743
843,304,1,257
844,305,0,739
845,305,1,261
846,306,0,170
847,306,1,211
848,306,2,448
849,306,3,171
850,307,0,702
851,307,1,298
852,308,0,337
853,308,1,663
854,309,0,486
855,309,1,217
856,309,2,297
857,310,0,370
858,310,1,246
859,310,2,384
860,311,0,360
861,311,1,225
862,311,2,415
863,312,0,265
864,312,1,735
865,313,0,260
866,313,1,740
867,314,0,732
868,314,1,268
869,315,0,236
870,315,1,764
871,316,0,259
872,316,1,741
873,317,0,213
874,317,1,787
875,318,0,769
876,318,1,231
877,319,0,779
878,319,1,221
879,320,0,773
880,320,1,227
881,321,0,547
882,321,1,453
883,322,0,99
884,322,1,84
885,322,2,7
886,322,3,189
887,322,4,593
888,322,5,28
889,323,0,498
890,323,1,502
891,324,0,39
892,324,1,343
893,324,2,618
894,325,0,181
895,325,1,778
896,325,2,41
897,326,0,406
898,326,1,64
899,326,2,530
900,327,0,172
901,327,1,773
902,327,2,55
903,328,0,556
904,328,1,444
905,329,0,220
906,329,1,67
907,329,2,713
908,330,0,83
909,330,1,917
910,331,0,85
911,331,1,356
912,331,2,559
913,332,0,626
914,332,1,91
915,332,2,126
916,332,3,157
917,333,0,708
918,333,1,197
919,333,2,95
920,334,0,50
921,334,1,89
922,334,2,165
923,334,3,20
924,334,4,95
925,334,5,581
926,335,0,359
927,335,1,97
928,335,2,176
929,335,3,2
930,335,4,19
931,335,5,117
932,335,6,40
933,335,7,87
934,335,8,103
935,336,0,158
936,336,1,842
937,337,0,167
938,337,1,726
939,337,2,107
940,338,0,718
941,338,1,282
942,339,0,69
943,339,1,101
944,339,2,80
945,339,3,134
946,339,4,465
947,339,5,151
948,340,0,19
949,340,1,981
950,341,0,125
951,341,1,559
952,341,2,79
953,341,3,105
954,341,4,19
955,341,5,113
956,342,0,343
957,342,1,110
958,342,2,108
959,342,3,439
960,343,0,112
961,343,1,888
962,344,0,181
963,344,1,819
964,345,0,132
965,345,1,659
966,345,2,209
967,346,0,154
968,346,1,100
969,346,2,567
970,346,3,179
971,347,0,121
972,347,1,879
973,348,0,183
974,348,1,817
975,349,0,20
976,349,1,610
977,349,2,19
