,Clusters,RTs,Total_tweets,CumRT
1238,3,62,123900,74059
1239,2,72,124000,74131
1240,2,71,124100,74202
1241,3,68,124200,74270
1242,9,70,124300,74340
1243,2,75,124400,74415
1244,5,70,124500,74485
1245,3,65,124600,74550
1246,4,59,124700,74609
1247,2,67,124800,74676
1248,2,67,124900,74743
1249,2,70,125000,74813
1250,2,63,125100,74876
1251,3,67,125200,74943
1252,2,68,125300,75011
1253,3,77,125400,75088
1254,2,73,125500,75161
1255,3,70,125600,75231
1256,3,74,125700,75305
1257,3,61,125800,75366
1258,3,67,125900,75433
1259,3,71,126000,75504
1260,2,64,126100,75568
1261,4,58,126200,75626
1262,6,62,126300,75688
1263,6,59,126400,75747
1264,3,75,126500,75822
1265,2,72,126600,75894
1266,2,72,126700,75966
1267,2,77,126800,76043
1268,4,71,126900,76114
1269,3,62,127000,76176
1270,2,76,127100,76252
1271,2,70,127200,76322
1272,2,66,127300,76388
1273,2,66,127400,76454
1274,3,59,127500,76513
1275,4,73,127600,76586
1276,2,76,127700,76662
1277,5,65,127800,76727
1278,3,64,127900,76791
1279,4,66,128000,76857
1280,5,70,128100,76927
1281,2,70,128200,76997
1282,4,70,128300,77067
1283,2,69,128400,77136
1284,4,64,128500,77200
1285,4,70,128600,77270
1286,3,66,128700,77336
1287,6,65,128800,77401
1288,7,70,128900,77471
1289,2,72,129000,77543
1290,5,71,129100,77614
1291,4,73,129200,77687
1292,5,72,129300,77759
1293,4,70,129400,77829
1294,4,69,129500,77898
1295,2,69,129600,77967
1296,6,68,129700,78035
1297,4,69,129800,78104
1298,3,64,129900,78168
1299,5,60,130000,78228
1300,2,67,130100,78295
1301,3,66,130200,78361
1302,7,66,130300,78427
1303,4,72,130400,78499
1304,2,71,130500,78570
1305,2,68,130600,78638
1306,9,69,130700,78707
1307,5,71,130800,78778
1308,2,70,130900,78848
1309,2,67,131000,78915
1310,2,58,131100,78973
1311,2,77,131200,79050
1312,4,72,131300,79122
1313,2,66,131400,79188
1314,2,60,131500,79248
1315,2,63,131600,79311
1316,6,69,131700,79380
1317,6,66,131800,79446
1318,2,66,131900,79512
1319,3,62,132000,79574
1320,2,64,132100,79638
1321,7,76,132200,79714
1322,2,70,132300,79784
1323,5,71,132400,79855
1324,2,65,132500,79920
1325,2,60,132600,79980
1326,2,70,132700,80050
1327,2,70,132800,80120
1328,2,63,132900,80183
1329,2,67,133000,80250
1330,2,62,133100,80312
1331,2,71,133200,80383
1332,2,73,133300,80456
1333,2,70,133400,80526
1334,4,62,133500,80588
1335,2,66,133600,80654
1336,2,70,133700,80724
1337,2,67,133800,80791
1338,3,69,133900,80860
1339,2,71,134000,80931
1340,2,61,134100,80992
1341,2,65,134200,81057
1342,4,61,134300,81118
1343,5,57,134400,81175
1344,2,74,134500,81249
1345,3,68,134600,81317
1346,3,64,134700,81381
1347,2,74,134800,81455
1348,2,66,134900,81521
1349,2,72,135000,81593
1350,6,74,135100,81667
1351,4,69,135200,81736
1352,4,65,135300,81801
1353,2,73,135400,81874
1354,2,61,135500,81935
1355,2,80,135600,82015
1356,2,68,135700,82083
1357,2,70,135800,82153
1358,2,58,135900,82211
1359,2,63,136000,82274
1360,5,63,136100,82337
1361,2,62,136200,82399
1362,2,62,136300,82461
1363,2,67,136400,82528
1364,2,68,136500,82596
1365,3,64,136600,82660
1366,2,62,136700,82722
1367,4,63,136800,82785
1368,2,62,136900,82847
1369,3,74,137000,82921
1370,2,64,137100,82985
1371,4,65,137200,83050
1372,2,65,137300,83115
1373,2,70,137400,83185
1374,2,70,137500,83255
1375,2,72,137600,83327
1376,2,60,137700,83387
1377,4,70,137800,83457
1378,3,69,137900,83526
1379,2,73,138000,83599
1380,6,67,138100,83666
1381,2,66,138200,83732
1382,2,79,138300,83811
1383,2,66,138400,83877
1384,2,63,138500,83940
1385,2,62,138600,84002
1386,2,67,138700,84069
1387,2,74,138800,84143
1388,2,71,138900,84214
1389,2,67,139000,84281
1390,2,65,139100,84346
