,Clusters,RTs,Total_tweets,CumRT
611,5,80,61200,47534
612,3,78,61300,47612
613,2,62,61400,47674
614,3,87,61500,47761
615,2,77,61600,47838
616,2,83,61700,47921
617,2,77,61800,47998
618,2,76,61900,48074
619,2,80,62000,48154
620,4,78,62100,48232
621,2,75,62200,48307
622,2,72,62300,48379
623,2,72,62400,48451
624,2,76,62500,48527
625,2,85,62600,48612
626,2,73,62700,48685
627,3,78,62800,48763
628,2,75,62900,48838
629,2,68,63000,48906
630,2,78,63100,48984
631,2,69,63200,49053
632,2,70,63300,49123
633,4,59,63400,49182
634,2,64,63500,49246
635,4,68,63600,49314
636,9,74,63700,49388
637,7,79,63800,49467
638,4,80,63900,49547
639,4,88,64000,49635
640,6,77,64100,49712
641,2,78,64200,49790
642,7,78,64300,49868
643,2,81,64400,49949
644,5,80,64500,50029
645,5,76,64600,50105
646,2,82,64700,50187
647,2,76,64800,50263
648,2,76,64900,50339
649,4,78,65000,50417
650,2,78,65100,50495
651,2,74,65200,50569
652,2,74,65300,50643
653,2,77,65400,50720
654,2,77,65500,50797
655,3,79,65600,50876
656,5,75,65700,50951
657,2,80,65800,51031
658,7,76,65900,51107
659,2,80,66000,51187
660,3,75,66100,51262
661,2,73,66200,51335
662,6,76,66300,51411
663,2,69,66400,51480
664,2,70,66500,51550
665,3,78,66600,51628
666,3,73,66700,51701
667,4,80,66800,51781
668,2,81,66900,51862
669,5,80,67000,51942
670,4,77,67100,52019
671,5,80,67200,52099
672,2,77,67300,52176
673,3,82,67400,52258
674,2,77,67500,52335
675,4,76,67600,52411
676,3,81,67700,52492
677,3,77,67800,52569
678,3,71,67900,52640
679,2,76,68000,52716
680,2,69,68100,52785
681,3,72,68200,52857
682,2,76,68300,52933
683,2,74,68400,53007
684,2,86,68500,53093
685,3,83,68600,53176
686,2,74,68700,53250
687,4,78,68800,53328
688,2,79,68900,53407
689,2,87,69000,53494
690,2,84,69100,53578
691,3,77,69200,53655
692,2,79,69300,53734
693,5,86,69400,53820
694,2,89,69500,53909
695,3,81,69600,53990
696,3,88,69700,54078
697,2,78,69800,54156
698,2,78,69900,54234
699,2,71,70000,54305
700,2,84,70100,54389
701,2,86,70200,54475
702,2,85,70300,54560
703,4,90,70400,54650
704,2,76,70500,54726
705,2,80,70600,54806
706,2,83,70700,54889
707,2,88,70800,54977
708,2,93,70900,55070
709,2,78,71000,55148
710,3,88,71100,55236
711,2,86,71200,55322
712,2,78,71300,55400
713,2,82,71400,55482
714,3,91,71500,55573
715,3,85,71600,55658
716,2,75,71700,55733
717,3,77,71800,55810
718,3,75,71900,55885
719,2,84,72000,55969
720,2,82,72100,56051
721,2,78,72200,56129
722,2,79,72300,56208
723,2,81,72400,56289
724,4,78,72500,56367
725,3,80,72600,56447
726,2,80,72700,56527
727,2,82,72800,56609
728,3,81,72900,56690
729,2,76,73000,56766
730,2,81,73100,56847
731,2,77,73200,56924
732,2,88,73300,57012
733,2,87,73400,57099
734,2,75,73500,57174
735,2,81,73600,57255
736,3,79,73700,57334
737,2,82,73800,57416
738,2,79,73900,57495
739,2,77,74000,57572
740,2,79,74100,57651
741,3,82,74200,57733
742,2,88,74300,57821
743,2,80,74400,57901
744,2,78,74500,57979
745,2,83,74600,58062
746,2,89,74700,58151
747,3,79,74800,58230
748,2,76,74900,58306
749,2,84,75000,58390
750,2,76,75100,58466
751,2,82,75200,58548
752,2,74,75300,58622
753,2,84,75400,58706
754,3,82,75500,58788
755,3,85,75600,58873
756,2,79,75700,58952
757,3,82,75800,59034
758,3,80,75900,59114
759,2,80,76000,59194
760,4,80,76100,59274
761,2,85,76200,59359
762,2,79,76300,59438
763,2,73,76400,59511
764,2,77,76500,59588
765,3,82,76600,59670
766,3,80,76700,59750
767,5,76,76800,59826
768,2,74,76900,59900
769,4,79,77000,59979
770,3,85,77100,60064
771,2,88,77200,60152
772,4,73,77300,60225
773,4,74,77400,60299
774,2,71,77500,60370
775,2,80,77600,60450
776,3,76,77700,60526
777,3,84,77800,60610
778,2,79,77900,60689
779,3,75,78000,60764
780,2,78,78100,60842
781,2,79,78200,60921
782,3,73,78300,60994
783,4,78,78400,61072
784,2,79,78500,61151
785,2,74,78600,61225
786,4,79,78700,61304
787,3,79,78800,61383
788,3,81,78900,61464
789,2,83,79000,61547
790,3,74,79100,61621
791,3,71,79200,61692
792,2,82,79300,61774
793,2,71,79400,61845
794,3,78,79500,61923
795,2,77,79600,62000
796,2,76,79700,62076
797,3,89,79800,62165
798,2,81,79900,62246
799,2,87,80000,62333
800,2,91,80100,62424
801,2,88,80200,62512
802,3,87,80300,62599
803,3,80,80400,62679
804,2,85,80500,62764
805,2,76,80600,62840
806,3,75,80700,62915
807,3,74,80800,62989
808,2,71,80900,63060
809,2,81,81000,63141
810,3,72,81100,63213
811,5,77,81200,63290
812,2,70,81300,63360
813,3,81,81400,63441
814,2,76,81500,63517
815,4,73,81600,63590
816,3,79,81700,63669
817,2,85,81800,63754
818,2,81,81900,63835
819,2,73,82000,63908
