,batch,cluster_number,size
769,279,1,825
770,279,2,145
771,280,0,29
772,280,1,135
773,280,2,836
774,281,0,215
775,281,1,29
776,281,2,32
777,281,3,77
778,281,4,647
779,282,0,274
780,282,1,697
781,282,2,29
782,283,0,847
783,283,1,153
784,284,0,131
785,284,1,869
786,285,0,107
787,285,1,864
788,285,2,29
789,286,0,886
790,286,1,114
791,287,0,22
792,287,1,285
793,287,2,30
794,287,3,45
795,287,4,618
796,288,0,968
797,288,1,32
798,289,0,925
799,289,1,44
800,289,2,31
801,290,0,460
802,290,1,540
803,291,0,31
804,291,1,370
805,291,2,76
806,291,3,38
807,291,4,485
808,292,0,576
809,292,1,76
810,292,2,31
811,292,3,317
812,293,0,31
813,293,1,969
814,294,0,31
815,294,1,969
816,295,0,25
817,295,1,298
818,295,2,39
819,295,3,83
820,295,4,468
821,295,5,55
822,295,6,32
823,296,0,308
824,296,1,660
825,296,2,32
826,297,0,35
827,297,1,807
828,297,2,158
829,298,0,32
830,298,1,618
831,298,2,350
832,299,0,640
833,299,1,360
834,300,0,119
835,300,1,848
836,300,2,33
837,301,0,298
838,301,1,33
839,301,2,669
840,302,0,44
841,302,1,34
842,302,2,734
843,302,3,147
844,302,4,30
845,302,5,11
846,303,0,10
847,303,1,592
848,303,2,298
849,303,3,66
850,303,4,34
851,304,0,64
852,304,1,35
853,304,2,368
854,304,3,533
855,305,0,36
856,305,1,964
857,306,0,188
858,306,1,776
859,306,2,36
860,307,0,37
861,307,1,963
862,308,0,513
863,308,1,37
864,308,2,450
865,309,0,37
866,309,1,216
867,309,2,735
868,309,3,12
869,310,0,37
870,310,1,963
871,311,0,38
872,311,1,962
873,312,0,38
874,312,1,962
875,313,0,40
876,313,1,960
877,314,0,101
878,314,1,39
879,314,2,462
880,314,3,398
881,315,0,952
882,315,1,48
883,316,0,39
884,316,1,30
885,316,2,931
886,317,0,137
887,317,1,40
888,317,2,269
889,317,3,273
890,317,4,281
891,318,0,485
892,318,1,241
893,318,2,40
894,318,3,234
895,319,0,165
896,319,1,662
897,319,2,135
898,319,3,38
899,320,0,38
900,320,1,207
901,320,2,755
902,321,0,41
903,321,1,111
904,321,2,261
905,321,3,587
906,322,0,168
907,322,1,199
908,322,2,39
909,322,3,276
910,322,4,318
911,323,0,962
912,323,1,38
913,324,0,12
914,324,1,38
915,324,2,950
916,325,0,37
917,325,1,963
918,326,0,37
919,326,1,39
920,326,2,321
921,326,3,603
922,327,0,345
923,327,1,266
924,327,2,159
925,327,3,192
926,327,4,38
927,328,0,245
928,328,1,755
929,329,0,39
930,329,1,961
931,330,0,39
932,330,1,254
933,330,2,354
934,330,3,353
935,331,0,39
936,331,1,961
937,332,0,352
938,332,1,285
939,332,2,325
940,332,3,38
941,333,0,37
942,333,1,341
943,333,2,105
944,333,3,517
945,334,0,609
946,334,1,38
947,334,2,82
948,334,3,271
949,335,0,154
950,335,1,367
951,335,2,415
952,335,3,39
953,335,4,25
954,336,0,76
955,336,1,480
956,336,2,17
957,336,3,38
958,336,4,290
959,336,5,99
960,337,0,329
961,337,1,671
962,338,0,691
963,338,1,309
964,339,0,959
965,339,1,41
966,340,0,38
967,340,1,662
968,340,2,300
969,341,0,513
970,341,1,426
971,341,2,38
972,341,3,23
973,342,0,558
974,342,1,38
975,342,2,404
976,343,0,39
977,343,1,961
978,344,0,39
979,344,1,504
980,344,2,457
981,345,0,38
982,345,1,962
983,346,0,959
984,346,1,41
985,347,0,47
986,347,1,594
987,347,2,39
988,347,3,320
989,348,0,960
990,348,1,40
991,349,0,26
992,349,1,39
993,349,2,291
994,349,3,115
995,349,4,21
996,349,5,508
997,350,0,207
998,350,1,721
999,350,2,38
1000,350,3,34
1001,351,0,46
1002,351,1,954
1003,352,0,68
1004,352,1,120
1005,352,2,36
1006,352,3,520
1007,352,4,50
1008,352,5,206
1009,353,0,804
1010,353,1,37
1011,353,2,159
1012,354,0,714
